team,component,reason,differences,description
Aston Martin,Cooling Louvres,Performance - Local Load,Conceptually similar cooling panels.,The bodywork package has evolved to improve the feed to the rear of the car and complement the changes to the floor geometry.
Aston Martin,Rear Suspension,Performance - Local Load,Small changes to the leg positions and external fairings.,The rear suspension and rear brake ducts modifications were developed with each other and the changes to the rear of the floor.
Aston Martin,Rear Corner,Performance - Local Load,"Subtle changes to the inlet, exit and vanes.",The rear suspension and rear brake ducts modifications were developed with each other and the changes to the rear of the floor.
Aston Martin,Rear Wing,Performance - Local Load,"Chord is redistributed between the three elements, winglets added to the TE of the flap.","The three components of the rear wing increase CM load while reducing SM drag, and are aligned with other changes to the rear of the car."
Aston Martin,Beam Wing,Performance - Local Load,Change in twist distribution of the rear wing brace.,"The three components of the rear wing increase CM load while reducing SM drag, and are aligned with other changes to the rear of the car."
Aston Martin,Rear Wing Endplate,Performance - Local Load,All the surfaces have been revised.,"The three components of the rear wing increase CM load while reducing SM drag, and are aligned with other changes to the rear of the car."
Haas F1 Team,Rear Wing,Performance - Local Load,Rear Wing SM Fairing optimization and new Rear Wing gurney-flap,"The revised SM Fairing increases local aerodynamic loading and, in combination with a more aggressive Gurney flap configuration, contributes to increased rear wing downforce."
Audi F1 Team,Rear Wing,Performance – Flow conditioning,Endplate modification.,A revised rear wing endplate profile is introduced. The update is intended to deliver a local aerodynamic load increase while contributing to the overall aerodynamic efficiency of the race car.
Alpine F1 Team,None,No updates submitted for this event,None,None
Cadillac,Front Corner,Performance – Brake Cooling,Updated inlet scoop and exit aperture surfaces,"The front brake duct surfaces have been updated to increase both the inlet and exit flow areas, improving airflow through the ducts and providing additional brake cooling capacity"
